"Jahr","Grossregion","Schweizer/innen und Ausländer/innen","Berufliche Stellung","Geschlecht","Zentralwert","P10","P25","P75","P90"
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Ohne Kaderfunktion","Frauen",4478,3650,3983,5671,7829
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Ohne Kaderfunktion","Männer",5651,4094,4698,6471,7595
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Berufliche Stellung - Total","Geschlecht - Total",5897,4144,4678,8150,12000
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Berufliche Stellung - Total","Frauen",5709,3959,4483,8064,11320
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Berufliche Stellung - Total","Männer",5993,4279,4833,8236,12500
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Oberes und mittleres Kader","Geschlecht - Total",12885,5300,8778,20817,33772
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Oberes und mittleres Kader","Frauen",12456,6152,9066,18448,27598
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Oberes und mittleres Kader","Männer",13120,5074,8510,22237,36772
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Unteres Kader","Geschlecht - Total",9333,5212,6912,12167,16691
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Unteres Kader","Frauen",9009,5145,6640,11524,15528
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Unteres Kader","Männer",9609,5363,7108,12694,18200
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7147,4400,5709,9324,12786
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Verantwortlich für die Ausführung der Arbeiten","Frauen",7110,4238,5567,8750,11926
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Verantwortlich für die Ausführung der Arbeiten","Männer",7231,4792,5778,9644,13401
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Ohne Kaderfunktion","Geschlecht - Total",5377,4045,4539,6826,8840
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Ohne Kaderfunktion","Frauen",5096,3898,4333,6898,8805
"2024","Région lémanique","> Aufenthalter/innen (Kat. B)","Ohne Kaderfunktion","Männer",5550,4215,4661,6794,8846
